"applicants","year","row_num","col_num","branch_type","grouping_title","reader_name","grouping_nametag","pct_change_vs_prior_record","academic_rating","non_academic_rating","onetest","rejected","confirm_admit","admit","admit_and_cancel","race_african_american","race_asian","race_hispanic","race_white","race_foreign","race_native_unknown","male","female","catholic","legacy","sibling","athlete","first_generation","public_school","catholic_school","private_school","na_school","science","arts","business","engineering","architecture","status_rotation","rejected_pct","confirm_admit_pct","admit_pct","admit_and_cancel_pct","race_rotation","african_american_pct","asian_pct","hispanic_pct","white_pct","foreign_pct","native_unknown_pct","cohort_rotation","male_pct","female_pct","catholic_pct","legacy_pct","sibling_pct","athlete_pct","first_generation_pct","hs_rotation","public_school_pct","catholic_school_pct","private_school_pct","na_school_pct","college_rotation","science_pct","arts_pct","business_pct","engineering_pct","architecture_pct"
"1",2016,"1.3","3","Status","Admit and Cancel","Alyssa O'Rourke","(Alyssa O'Rourke) 2016 Admit and Cancel - 1 applicants","-0.990740741","7","7","1380","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.0000","1.0000","1.0000","0.0000","0.0000","0.0000","1.0000","3.0000","1.0000","0.0000","0.0000","0.0000","4.0000","0.0000","1.0000","0.0000","0.0000","0.0000"
"141",2010,"1.3","4","Status","Confirm Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2010 Confirm Admit - 141 applicants","0","7.95035461","9.276595745","1389.078014","0","141","0","0","4","21","45","57","0","14","65","76","109","26","13","14","23","65","58","13","5","39","55","24","22","1","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0284","0.1489","0.3191","0.4043","0.0000","0.0993","2.0000","0.4610","0.5390","0.7730","0.1844","0.0922","0.0993","0.1631","3.0000","0.4610","0.4113","0.0922","0.0355","4.0000","0.2766","0.3901","0.1702","0.1560","0.0071"
"139",2013,"1.3","4","Status","Confirm Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2013 Confirm Admit - 139 applicants","-0.014184397","7.45323741","7.557553957","1415.755396","0","139","0","0","11","18","27","76","1","6","66","73","107","29","24","9","18","51","52","27","9","33","54","25","23","4","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0791","0.1295","0.1942","0.5468","0.0072","0.0432","2.0000","0.4748","0.5252","0.7698","0.2086","0.1727","0.0647","0.1295","3.0000","0.3669","0.3741","0.1942","0.0647","4.0000","0.2374","0.3885","0.1799","0.1655","0.0288"
"147",2014,"1.3","4","Status","Confirm Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2014 Confirm Admit - 147 applicants","0.057553957","6.911564626","7.401360544","1414.421769","0","147","0","0","5","29","45","63","2","3","75","72","112","27","17","17","29","63","57","21","6","32","49","34","30","2","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0340","0.1973","0.3061","0.4286","0.0136","0.0204","2.0000","0.5102","0.4898","0.7619","0.1837","0.1156","0.1156","0.1973","3.0000","0.4286","0.3878","0.1429","0.0408","4.0000","0.2177","0.3333","0.2313","0.2041","0.0136"
"15",2016,"1.3","4","Status","Confirm Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2016 Confirm Admit - 15 applicants","-0.897959184","6.666666667","7.466666667","1428","0","15","0","0","1","2","3","8","0","1","8","7","11","3","3","4","3","6","6","3","0","2","2","7","3","1","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0667","0.1333","0.2000","0.5333","0.0000","0.0667","2.0000","0.5333","0.4667","0.7333","0.2000","0.2000","0.2667","0.2000","3.0000","0.4000","0.4000","0.2000","0.0000","4.0000","0.1333","0.1333","0.4667","0.2000","0.0667"
"1162",2010,"1.3","5","Total","Total","Alyssa O'Rourke","(Alyssa O'Rourke) 2010 Total - 1162 applicants","0","11.22030981","9.811531842","1287.082616","856","141","92","73","62","223","313","485","33","46","544","618","751","57","45","17","240","619","374","113","56","278","517","191","143","33","0.0000","0.7367","0.1213","0.0792","0.0628","1.0000","0.0534","0.1919","0.2694","0.4174","0.0284","0.0396","2.0000","0.4682","0.5318","0.6463","0.0491","0.0387","0.0146","0.2065","3.0000","0.5327","0.3219","0.0972","0.0482","4.0000","0.2392","0.4449","0.1644","0.1231","0.0284"
"1473",2013,"1.3","5","Total","Total","Alyssa O'Rourke","(Alyssa O'Rourke) 2013 Total - 1473 applicants","0.267641997","11.72369314","8.834691107","1281.276307","1181","139","75","78","59","291","481","556","47","39","670","803","886","64","72","15","418","808","383","162","120","323","585","280","262","23","0.0000","0.8018","0.0944","0.0509","0.0530","1.0000","0.0401","0.1976","0.3265","0.3775","0.0319","0.0265","2.0000","0.4549","0.5451","0.6015","0.0434","0.0489","0.0102","0.2838","3.0000","0.5485","0.2600","0.1100","0.0815","4.0000","0.2193","0.3971","0.1901","0.1779","0.0156"
"1516",2014,"1.3","5","Total","Total","Alyssa O'Rourke","(Alyssa O'Rourke) 2014 Total - 1516 applicants","0.029192125","11.29980211","9.029023747","1285.969657","1226","147","35","108","59","308","464","561","58","66","693","823","932","69","50","22","463","846","390","153","127","380","514","336","250","36","0.0000","0.8087","0.0970","0.0231","0.0712","1.0000","0.0389","0.2032","0.3061","0.3701","0.0383","0.0435","2.0000","0.4571","0.5429","0.6148","0.0455","0.0330","0.0145","0.3054","3.0000","0.5580","0.2573","0.1009","0.0838","4.0000","0.2507","0.3391","0.2216","0.1649","0.0237"
"1504",2016,"1.3","5","Total","Total","Alyssa O'Rourke","(Alyssa O'Rourke) 2016 Total - 1504 applicants","-0.007915567","11.55551862","8.873005319","1279.261968","1246","15","242","1","66","268","533","497","64","76","686","818","954","58","56","13","460","828","421","118","137","421","508","315","239","21","0.0000","0.8285","0.0100","0.1609","0.0007","1.0000","0.0439","0.1782","0.3544","0.3305","0.0426","0.0505","2.0000","0.4561","0.5439","0.6343","0.0386","0.0372","0.0086","0.3059","3.0000","0.5505","0.2799","0.0785","0.0911","4.0000","0.2799","0.3378","0.2094","0.1589","0.0140"
"570",2010,"2","1","Race","African American/Black","TOTAL","2010 African American/Black - 570 applicants","0","13.2237","9.9947","1177.7895","331","91","78","70","570","0","0","0","0","0","249","321","194","19","15","19","137","314","136","46","74","167","217","87","79","20","1.0000","0.5807","0.1596","0.1368","0.1228","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4368","0.5632","0.3404","0.0333","0.0263","0.0333","0.2404","3.0000","0.5509","0.2386","0.0807","0.1298","4.0000","0.2930","0.3807","0.1526","0.1386","0.0351"
"695",2011,"2","1","Race","African American/Black","TOTAL","2011 African American/Black - 695 applicants","0.219298246","13.6683","10.2612","1181.9137","430","96","106","63","695","0","0","0","0","0","299","396","242","16","18","17","197","375","152","61","107","217","261","101","95","21","1.0000","0.6187","0.1381","0.1525","0.0906","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4302","0.5698","0.3482","0.0230","0.0259","0.0245","0.2835","3.0000","0.5396","0.2187","0.0878","0.1540","4.0000","0.3122","0.3755","0.1453","0.1367","0.0302"
"711",2012,"2","1","Race","African American/Black","TOTAL","2012 African American/Black - 711 applicants","0.023021583","13.7482","9.6646","1171.4627","444","112","105","50","711","0","0","0","0","0","315","396","233","16","17","21","217","406","134","62","109","213","250","114","113","21","1.0000","0.6245","0.1575","0.1477","0.0703","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4430","0.5570","0.3277","0.0225","0.0239","0.0295","0.3052","3.0000","0.5710","0.1885","0.0872","0.1533","4.0000","0.2996","0.3516","0.1603","0.1589","0.0295"
"761",2013,"2","1","Race","African American/Black","TOTAL","2013 African American/Black - 761 applicants","0.070323488","14.2812","9.276","1155.9921","489","135","84","53","761","0","0","0","0","0","331","430","221","27","14","31","228","406","144","74","137","187","288","120","156","10","1.0000","0.6426","0.1774","0.1104","0.0696","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4350","0.5650","0.2904","0.0355","0.0184","0.0407","0.2996","3.0000","0.5335","0.1892","0.0972","0.1800","4.0000","0.2457","0.3784","0.1577","0.2050","0.0131"
"806",2014,"2","1","Race","African American/Black","TOTAL","2014 African American/Black - 806 applicants","0.05913272","14.201","9.3207","1144.5037","568","115","28","95","806","0","0","0","0","0","339","467","234","15","15","25","336","425","139","67","175","265","240","165","115","21","1.0000","0.7047","0.1427","0.0347","0.1179","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4206","0.5794","0.2903","0.0186","0.0186","0.0310","0.4169","3.0000","0.5273","0.1725","0.0831","0.2171","4.0000","0.3288","0.2978","0.2047","0.1427","0.0261"
"933",2015,"2","1","Race","African American/Black","TOTAL","2015 African American/Black - 933 applicants","0.157568238","14.2856","8.7883","1154.9625","640","128","10","155","933","0","0","0","0","0","389","544","279","20","32","27","375","484","181","69","199","310","257","196","155","15","1.0000","0.6860","0.1372","0.0107","0.1661","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4169","0.5831","0.2990","0.0214","0.0343","0.0289","0.4019","3.0000","0.5188","0.1940","0.0740","0.2133","4.0000","0.3323","0.2755","0.2101","0.1661","0.0161"
"1119",2016,"2","1","Race","African American/Black","TOTAL","2016 African American/Black - 1119 applicants","0.199356913","14.29311886","9.09562109","1139.642538","817","34","267","1","1119","0","0","0","0","0","464","655","298","30","21","19","473","563","192","78","286","410","318","209","176","6","1.0000","0.7301","0.0304","0.2386","0.0009","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4147","0.5853","0.2663","0.0268","0.0188","0.0170","0.4227","3.0000","0.5031","0.1716","0.0697","0.2556","4.0000","0.3664","0.2842","0.1868","0.1573","0.0054"
"1273",2010,"2","2","Race","Asian","TOTAL","2010 Asian - 1273 applicants","0","9.0102","10.0251","1367.7769","812","150","182","129","0","1273","0","0","0","0","619","654","510","32","39","5","219","864","199","166","44","450","395","233","165","30","1.0000","0.6379","0.1178","0.1430","0.1013","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4863","0.5137","0.4006","0.0251","0.0306","0.0039","0.1720","3.0000","0.6787","0.1563","0.1304","0.0346","4.0000","0.3535","0.3103","0.1830","0.1296","0.0236"
"1451",2011,"2","2","Race","Asian","TOTAL","2011 Asian - 1451 applicants","0.13982718","9.4356","10.2264","1372.6258","1017","169","141","124","0","1451","0","0","0","0","698","753","550","48","39","7","243","992","215","178","66","480","412","344","175","40","1.0000","0.7009","0.1165","0.0972","0.0855","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4810","0.5190","0.3790","0.0331","0.0269","0.0048","0.1675","3.0000","0.6837","0.1482","0.1227","0.0455","4.0000","0.3308","0.2839","0.2371","0.1206","0.0276"
"1737",2012,"2","2","Race","Asian","TOTAL","2012 Asian - 1737 applicants","0.197105445","9.4784","9.2657","1377.795","1293","180","146","118","0","1737","0","0","0","0","822","915","605","47","56","10","349","1194","253","204","86","571","491","424","219","32","1.0000","0.7444","0.1036","0.0841","0.0679","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4732","0.5268","0.3483","0.0271","0.0322","0.0058","0.2009","3.0000","0.6874","0.1457","0.1174","0.0495","4.0000","0.3287","0.2827","0.2441","0.1261","0.0184"
"1775",2013,"2","2","Race","Asian","TOTAL","2013 Asian - 1775 applicants","0.021876799","9.4825","8.7121","1382.9746","1359","156","135","125","0","1775","0","0","0","0","860","915","582","54","48","3","360","1219","220","225","111","477","548","418","305","27","1.0000","0.7656","0.0879","0.0761","0.0704","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4845","0.5155","0.3279","0.0304","0.0270","0.0017","0.2028","3.0000","0.6868","0.1239","0.1268","0.0625","4.0000","0.2687","0.3087","0.2355","0.1718","0.0152"
"1826",2014,"2","2","Race","Asian","TOTAL","2014 Asian - 1826 applicants","0.028732394","9.0934","8.5345","1382.4918","1453","141","34","198","0","1826","0","0","0","0","838","988","687","49","61","9","387","1249","242","225","110","591","448","470","291","26","1.0000","0.7957","0.0772","0.0186","0.1084","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4589","0.5411","0.3762","0.0268","0.0334","0.0049","0.2119","3.0000","0.6840","0.1325","0.1232","0.0602","4.0000","0.3237","0.2453","0.2574","0.1594","0.0142"
"1798",2015,"2","2","Race","Asian","TOTAL","2015 Asian - 1798 applicants","-0.015334064","8.8301","8.1329","1388.921","1413","155","11","219","0","1798","0","0","0","0","860","938","677","48","50","13","332","1244","256","177","121","605","397","487","286","23","1.0000","0.7859","0.0862","0.0061","0.1218","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4783","0.5217","0.3765","0.0267","0.0278","0.0072","0.1846","3.0000","0.6919","0.1424","0.0984","0.0673","4.0000","0.3365","0.2208","0.2709","0.1591","0.0128"
"1594",2016,"2","2","Race","Asian","TOTAL","2016 Asian - 1594 applicants","-0.113459399","9.169698871","8.288895859","1377.553325","1243","14","336","1","0","1594","0","0","0","0","758","836","607","55","64","5","283","1105","250","140","99","501","388","414","267","24","1.0000","0.7798","0.0088","0.2108","0.0006","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","2.0000","0.4755","0.5245","0.3808","0.0345","0.0402","0.0031","0.1775","3.0000","0.6932","0.1568","0.0878","0.0621","4.0000","0.3143","0.2434","0.2597","0.1675","0.0151"
"1518",2010,"2","3","Race","Hispanic/Latino","TOTAL","2010 Hispanic/Latino - 1518 applicants","0","11.6515","10.0876","1260.6785","995","206","151","166","0","0","1518","0","0","0","738","780","1278","63","92","6","363","760","492","156","110","387","609","222","247","53","1.0000","0.6555","0.1357","0.0995","0.1094","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4862","0.5138","0.8419","0.0415","0.0606","0.0040","0.2391","3.0000","0.5007","0.3241","0.1028","0.0725","4.0000","0.2549","0.4012","0.1462","0.1627","0.0349"
"1850",2011,"2","3","Race","Hispanic/Latino","TOTAL","2011 Hispanic/Latino - 1850 applicants","0.218708827","12.5727","10.2146","1242.4162","1356","180","158","156","0","0","1850","0","0","0","887","963","1558","65","102","6","520","908","579","189","174","505","683","293","303","66","1.0000","0.7330","0.0973","0.0854","0.0843","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4795","0.5205","0.8422","0.0351","0.0551","0.0032","0.2811","3.0000","0.4908","0.3130","0.1022","0.0941","4.0000","0.2730","0.3692","0.1584","0.1638","0.0357"
"1955",2012,"2","3","Race","Hispanic/Latino","TOTAL","2012 Hispanic/Latino - 1955 applicants","0.056756757","12.4552","9.5297","1239.7698","1462","221","160","112","0","0","1955","0","0","0","844","1111","1582","77","107","12","634","988","606","151","210","562","725","338","274","56","1.0000","0.7478","0.1130","0.0818","0.0573","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4317","0.5683","0.8092","0.0394","0.0547","0.0061","0.3243","3.0000","0.5054","0.3100","0.0772","0.1074","4.0000","0.2875","0.3708","0.1729","0.1402","0.0286"
"2138",2013,"2","3","Race","Hispanic/Latino","TOTAL","2013 Hispanic/Latino - 2138 applicants","0.093606138","12.7053","9.1218","1241.5762","1664","204","117","153","0","0","2138","0","0","0","1007","1131","1701","79","107","7","717","1026","655","187","270","501","794","350","447","46","1.0000","0.7783","0.0954","0.0547","0.0716","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4710","0.5290","0.7956","0.0370","0.0500","0.0033","0.3354","3.0000","0.4799","0.3064","0.0875","0.1263","4.0000","0.2343","0.3714","0.1637","0.2091","0.0215"
"2255",2014,"2","3","Race","Hispanic/Latino","TOTAL","2014 Hispanic/Latino - 2255 applicants","0.054724041","12.3204","8.908","1246.2395","1785","208","41","221","0","0","2255","0","0","0","1049","1206","1829","92","88","13","844","1110","668","197","280","630","679","443","453","50","1.0000","0.7916","0.0922","0.0182","0.0980","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4652","0.5348","0.8111","0.0408","0.0390","0.0058","0.3743","3.0000","0.4922","0.2962","0.0874","0.1242","4.0000","0.2794","0.3011","0.1965","0.2009","0.0222"
"2377",2015,"2","3","Race","Hispanic/Latino","TOTAL","2015 Hispanic/Latino - 2377 applicants","0.054101996","12.6321","8.8302","1233.4666","1937","201","18","221","0","0","2377","0","0","0","1076","1301","1976","89","100","6","919","1173","655","181","368","740","712","451","418","56","1.0000","0.8149","0.0846","0.0076","0.0930","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4527","0.5473","0.8313","0.0374","0.0421","0.0025","0.3866","3.0000","0.4935","0.2756","0.0761","0.1548","4.0000","0.3113","0.2995","0.1897","0.1759","0.0236"
"2410",2016,"2","3","Race","Hispanic/Latino","TOTAL","2016 Hispanic/Latino - 2410 applicants","0.013883046","12.49294606","8.882987552","1228.941909","1965","27","412","6","0","0","2410","0","0","0","1089","1321","1941","88","95","11","967","1261","630","197","322","745","693","476","443","53","1.0000","0.8154","0.0112","0.1710","0.0025","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2.0000","0.4519","0.5481","0.8054","0.0365","0.0394","0.0046","0.4012","3.0000","0.5232","0.2614","0.0817","0.1336","4.0000","0.3091","0.2876","0.1975","0.1838","0.0220"
"397",2010,"2","4","Race","Native or Unknown","TOTAL","2010 Native or Unknown - 397 applicants","0","11.136","9.8791","1285.5668","275","65","27","30","0","0","0","0","0","397","191","206","248","33","23","9","56","210","128","40","19","98","184","52","52","11","1.0000","0.6927","0.1637","0.0680","0.0756","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4811","0.5189","0.6247","0.0831","0.0579","0.0227","0.1411","3.0000","0.5290","0.3224","0.1008","0.0479","4.0000","0.2469","0.4635","0.1310","0.1310","0.0277"
"426",2011,"2","4","Race","Native or Unknown","TOTAL","2011 Native or Unknown - 426 applicants","0.073047859","11.6444","10.2218","1290.9155","350","27","21","28","0","0","0","0","0","426","199","227","250","26","20","3","60","219","126","47","34","107","184","63","63","9","1.0000","0.8216","0.0634","0.0493","0.0657","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4671","0.5329","0.5869","0.0610","0.0469","0.0070","0.1408","3.0000","0.5141","0.2958","0.1103","0.0798","4.0000","0.2512","0.4319","0.1479","0.1479","0.0211"
"547",2012,"2","4","Race","Native or Unknown","TOTAL","2012 Native or Unknown - 547 applicants","0.284037559","11.617","9.4552","1296.9653","452","39","30","26","0","0","0","0","0","547","234","313","284","41","27","3","93","275","173","59","40","157","210","98","71","11","1.0000","0.8263","0.0713","0.0548","0.0475","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4278","0.5722","0.5192","0.0750","0.0494","0.0055","0.1700","3.0000","0.5027","0.3163","0.1079","0.0731","4.0000","0.2870","0.3839","0.1792","0.1298","0.0201"
"458",2013,"2","4","Race","Native or Unknown","TOTAL","2013 Native or Unknown - 458 applicants","-0.162705667","11.4498","8.6692","1301.9432","361","43","21","33","0","0","0","0","0","458","211","247","275","37","20","8","55","242","126","54","36","88","176","91","100","3","1.0000","0.7882","0.0939","0.0459","0.0721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4607","0.5393","0.6004","0.0808","0.0437","0.0175","0.1201","3.0000","0.5284","0.2751","0.1179","0.0786","4.0000","0.1921","0.3843","0.1987","0.2183","0.0066"
"475",2014,"2","4","Race","Native or Unknown","TOTAL","2014 Native or Unknown - 475 applicants","0.037117904","10.5884","8.6105","1321.5789","386","34","5","50","0","0","0","0","0","475","205","270","279","25","27","2","87","250","122","58","45","139","121","115","90","10","1.0000","0.8126","0.0716","0.0105","0.1053","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4316","0.5684","0.5874","0.0526","0.0568","0.0042","0.1832","3.0000","0.5263","0.2568","0.1221","0.0947","4.0000","0.2926","0.2547","0.2421","0.1895","0.0211"
"509",2015,"2","4","Race","Native or Unknown","TOTAL","2015 Native or Unknown - 509 applicants","0.071578947","11.0069","8.4185","1312.9862","438","27","6","38","0","0","0","0","0","509","250","259","339","40","22","3","85","237","157","66","49","135","159","113","94","8","1.0000","0.8605","0.0530","0.0118","0.0747","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4912","0.5088","0.6660","0.0786","0.0432","0.0059","0.1670","3.0000","0.4656","0.3084","0.1297","0.0963","4.0000","0.2652","0.3124","0.2220","0.1847","0.0157"
"595",2016,"2","4","Race","Native or Unknown","TOTAL","2016 Native or Unknown - 595 applicants","0.168958743","10.50840336","8.387394958","1325.613445","476","13","105","1","0","0","0","0","0","595","264","331","379","45","26","8","80","306","158","75","56","159","168","147","110","11","1.0000","0.8000","0.0218","0.1765","0.0017","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","2.0000","0.4437","0.5563","0.6370","0.0756","0.0437","0.0134","0.1345","3.0000","0.5143","0.2655","0.1261","0.0941","4.0000","0.2672","0.2824","0.2471","0.1849","0.0185"
"988",2010,"2","5","Race","Non-Resident Alien","TOTAL","2010 Non-Resident Alien - 988 applicants","0","10.1604","10.2151","1318.9372","791","76","66","55","0","0","0","0","988","0","555","433","294","12","20","9","124","93","101","365","429","186","340","281","128","53","1.0000","0.8006","0.0769","0.0668","0.0557","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.5617","0.4383","0.2976","0.0121","0.0202","0.0091","0.1255","3.0000","0.0941","0.1022","0.3694","0.4342","4.0000","0.1883","0.3441","0.2844","0.1296","0.0536"
"1268",2011,"2","5","Race","Non-Resident Alien","TOTAL","2011 Non-Resident Alien - 1268 applicants","0.28340081","10.5911","10.3178","1318.4464","1069","71","68","60","0","0","0","0","1268","0","659","609","350","7","9","3","133","148","124","464","532","212","500","366","141","49","1.0000","0.8431","0.0560","0.0536","0.0473","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.5197","0.4803","0.2760","0.0055","0.0071","0.0024","0.1049","3.0000","0.1167","0.0978","0.3659","0.4196","4.0000","0.1672","0.3943","0.2886","0.1112","0.0386"
"1412",2012,"2","5","Race","Non-Resident Alien","TOTAL","2012 Non-Resident Alien - 1412 applicants","0.113564669","10.0786","9.6809","1334.0014","1183","92","52","85","0","0","0","0","1412","0","702","710","307","4","17","5","90","144","96","451","721","224","560","381","195","52","1.0000","0.8378","0.0652","0.0368","0.0602","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.4972","0.5028","0.2174","0.0028","0.0120","0.0035","0.0637","3.0000","0.1020","0.0680","0.3194","0.5106","4.0000","0.1586","0.3966","0.2698","0.1381","0.0368"
"1535",2013,"2","5","Race","Non-Resident Alien","TOTAL","2013 Non-Resident Alien - 1535 applicants","0.087110482","10.258","9.5879","1337.1596","1298","94","52","91","0","0","0","0","1535","0","758","777","363","12","20","9","100","246","108","403","778","279","618","383","211","44","1.0000","0.8456","0.0612","0.0339","0.0593","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.4938","0.5062","0.2365","0.0078","0.0130","0.0059","0.0651","3.0000","0.1603","0.0704","0.2625","0.5068","4.0000","0.1818","0.4026","0.2495","0.1375","0.0287"
"1705",2014,"2","5","Race","Non-Resident Alien","TOTAL","2014 Non-Resident Alien - 1705 applicants","0.110749186","9.6141","8.9604","1348.6921","1449","117","23","116","0","0","0","0","1705","0","827","878","451","8","15","12","346","310","116","464","815","319","579","444","278","85","1.0000","0.8499","0.0686","0.0135","0.0680","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.4850","0.5150","0.2645","0.0047","0.0088","0.0070","0.2029","3.0000","0.1818","0.0680","0.2721","0.4780","4.0000","0.1871","0.3396","0.2604","0.1630","0.0499"
"1576",2015,"2","5","Race","Non-Resident Alien","TOTAL","2015 Non-Resident Alien - 1576 applicants","-0.075659824","10.2671","8.343","1327.7982","1343","143","10","80","0","0","0","0","1576","0","816","760","506","13","23","6","312","235","113","366","862","319","452","475","274","56","1.0000","0.8522","0.0907","0.0063","0.0508","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.5178","0.4822","0.3211","0.0082","0.0146","0.0038","0.1980","3.0000","0.1491","0.0717","0.2322","0.5470","4.0000","0.2024","0.2868","0.3014","0.1739","0.0355"
"1476",2016,"2","5","Race","Non-Resident Alien","TOTAL","2016 Non-Resident Alien - 1476 applicants","-0.063451777","10.32960705","8.299119241","1317.310298","1264","16","195","1","0","0","0","0","1476","0","785","691","536","11","16","8","326","312","120","319","725","317","424","371","316","48","1.0000","0.8564","0.0108","0.1321","0.0007","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2.0000","0.5318","0.4682","0.3631","0.0075","0.0108","0.0054","0.2209","3.0000","0.2114","0.0813","0.2161","0.4912","4.0000","0.2148","0.2873","0.2514","0.2141","0.0325"
"9199",2010,"2","6","Race","White","TOTAL","2010 White - 9199 applicants","0","9.1999","9.9587","1351.8209","6571","1480","471","677","0","0","0","9199","0","0","4792","4407","7286","1125","759","146","537","4651","3519","748","281","2438","3469","1545","1532","215","1.0000","0.7143","0.1609","0.0512","0.0736","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","2.0000","0.5209","0.4791","0.7920","0.1223","0.0825","0.0159","0.0584","3.0000","0.5056","0.3825","0.0813","0.0305","4.0000","0.2650","0.3771","0.1680","0.1665","0.0234"
"10036",2011,"2","6","Race","White","TOTAL","2011 White - 10036 applicants","0.090988151","9.6909","10.0513","1353.2593","7492","1478","495","571","0","0","0","10036","0","0","5138","4898","7801","1156","814","165","632","5288","3635","795","318","2686","3668","1862","1633","187","1.0000","0.7465","0.1473","0.0493","0.0569","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","2.0000","0.5120","0.4880","0.7773","0.1152","0.0811","0.0164","0.0630","3.0000","0.5269","0.3622","0.0792","0.0317","4.0000","0.2676","0.3655","0.1855","0.1627","0.0186"
"9806",2012,"2","6","Race","White","TOTAL","2012 White - 9806 applicants","-0.022917497","9.8442","9.4356","1351.033","7405","1371","463","567","0","0","0","9806","0","0","5070","4736","7358","1145","758","144","810","5049","3581","816","360","2695","3357","1895","1707","152","1.0000","0.7551","0.1398","0.0472","0.0578","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","2.0000","0.5170","0.4830","0.7504","0.1168","0.0773","0.0147","0.0826","3.0000","0.5149","0.3652","0.0832","0.0367","4.0000","0.2748","0.3423","0.1932","0.1741","0.0155"
"10375",2013,"2","6","Race","White","TOTAL","2013 White - 10375 applicants","0.058025699","9.8947","8.7401","1354.2911","7954","1439","388","594","0","0","0","10375","0","0","5283","5092","7918","1206","733","149","696","5515","3593","886","381","2467","3633","2130","2010","135","1.0000","0.7667","0.1387","0.0374","0.0573","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","2.0000","0.5092","0.4908","0.7632","0.1162","0.0707","0.0144","0.0671","3.0000","0.5316","0.3463","0.0854","0.0367","4.0000","0.2378","0.3502","0.2053","0.1937","0.0130"
